entity,code,year,natural_gas_production
Gabon,GAB,1980,70792120.0
Gabon,GAB,1981,59465380.0
Gabon,GAB,1982,56633692.0
Gabon,GAB,1983,150079280.0
Gabon,GAB,1984,150079280.0
Gabon,GAB,1985,56633692.0
Gabon,GAB,1986,28316846.0
Gabon,GAB,1987,116099070.0
Gabon,GAB,1988,99108970.0
Gabon,GAB,1989,90613910.0
Gabon,GAB,1990,84950536.0
Gabon,GAB,1991,100484936.0
Gabon,GAB,1992,100000940.0
Gabon,GAB,1993,100000940.0
Gabon,GAB,1994,99958470.0
Gabon,GAB,1995,99958470.0
Gabon,GAB,1996,100000940.0
Gabon,GAB,1997,100000940.0
Gabon,GAB,1998,100000940.0
Gabon,GAB,1999,100000940.0
Gabon,GAB,2000,80000760.0
Gabon,GAB,2001,80000760.0
Gabon,GAB,2002,90000856.0
Gabon,GAB,2003,90000856.0
Gabon,GAB,2004,100000940.0
Gabon,GAB,2005,100000940.0
Gabon,GAB,2006,100000940.0
Gabon,GAB,2007,80000760.0
Gabon,GAB,2008,80000760.0
Gabon,GAB,2009,80000760.0
Gabon,GAB,2010,80000760.0
Gabon,GAB,2011,70000664.0
Gabon,GAB,2012,385003620.0
Gabon,GAB,2013,318003000.0
Gabon,GAB,2014,550000500.0
Gabon,GAB,2015,550000500.0
Gabon,GAB,2016,551100500.0
Gabon,GAB,2017,486973730.0
Gabon,GAB,2018,529902270.0
Gabon,GAB,2019,464000450.0
Gabon,GAB,2020,501943940.0
Gabon,GAB,2021,453900400.0
Gabon,GAB,2022,462978430.0
Gabon,GAB,2023,463000450.0
Gabon,GAB,2024,477353440.0
