entity,code,year,oil_production__twh
Gabon,GAB,1957,2.01199
Gabon,GAB,1958,5.87315
Gabon,GAB,1959,8.75739
Gabon,GAB,1960,9.304
Gabon,GAB,1961,9.00162
Gabon,GAB,1962,9.61801
Gabon,GAB,1963,10.32744
Gabon,GAB,1964,12.30454
Gabon,GAB,1965,14.71195
Gabon,GAB,1966,16.82861
Gabon,GAB,1967,40.06535
Gabon,GAB,1968,53.974827
Gabon,GAB,1969,58.46401
Gabon,GAB,1970,63.06949
Gabon,GAB,1971,67.39585
Gabon,GAB,1972,73.30389
Gabon,GAB,1973,88.35311
Gabon,GAB,1974,118.649254
Gabon,GAB,1975,131.59344
Gabon,GAB,1976,131.69812
Gabon,GAB,1977,131.03522
Gabon,GAB,1978,123.27801
Gabon,GAB,1979,113.950745
Gabon,GAB,1980,103.44885
Gabon,GAB,1981,88.99276
Gabon,GAB,1982,90.62096
Gabon,GAB,1983,91.51647
Gabon,GAB,1984,101.52989
Gabon,GAB,1985,100.32038
Gabon,GAB,1986,96.47085
Gabon,GAB,1987,89.88827
Gabon,GAB,1988,103.41396
Gabon,GAB,1989,118.94001
Gabon,GAB,1990,156.92358
Gabon,GAB,1991,171.05405
Gabon,GAB,1992,168.07675
Gabon,GAB,1993,177.04349
Gabon,GAB,1994,195.81432
Gabon,GAB,1995,206.50229
Gabon,GAB,1996,212.2475
Gabon,GAB,1997,211.59622
Gabon,GAB,1998,195.94223
Gabon,GAB,1999,197.41925
Gabon,GAB,2000,160.71355
Gabon,GAB,2001,152.14458
Gabon,GAB,2002,148.66035
Gabon,GAB,2003,159.11304
Gabon,GAB,2004,158.96667
Gabon,GAB,2005,156.9819
Gabon,GAB,2006,140.49571
Gabon,GAB,2007,142.59535
Gabon,GAB,2008,139.50262
Gabon,GAB,2009,139.94995
Gabon,GAB,2010,135.41739
Gabon,GAB,2011,137.21002
Gabon,GAB,2012,128.77348
Gabon,GAB,2013,123.92525
Gabon,GAB,2014,122.47349
Gabon,GAB,2015,124.00364
Gabon,GAB,2016,128.48758
Gabon,GAB,2017,121.986275
Gabon,GAB,2018,112.33555
Gabon,GAB,2019,126.495445
Gabon,GAB,2020,120.77915
Gabon,GAB,2021,105.20508
Gabon,GAB,2022,110.651505
Gabon,GAB,2023,129.61905
Gabon,GAB,2024,130.43419
